River Flow Rate (m³/s),Temperature Drop (ΔT) (°C),Heat Extraction Potential (kWh),COP (Coefficient of Performance),Heat Pump Output (kWh)
22.42,3,1012128480.0000001,4,4048513920.0000005
47.99,3,2166460560.0,4,8665842240.0
45.05,3,2033737200.0,4,8134948800.0
13.68,3,617569919.9999999,4,2470279679.9999995
24.72,3,1115959680.0,4,4463838720.0
29.1,3,1313690400.0,4,5254761600.0
34.19,3,1543473360.0,4,6173893440.0
12.24,3,552562560.0,4,2210250240.0
16.93,3,764287919.9999999,4,3057151679.9999995
11.44,3,516447360.0,4,2065789440.0
32.35,3,1460408400.0,4,5841633600.0
10.11,3,456405840.0,4,1825623360.0
29.62,3,1337165280.0,4,5348661120.0
33.71,3,1521804240.0,4,6087216960.0
20.13,3,908748719.9999999,4,3634994879.9999995
26.55,3,1198573200.0,4,4794292800.0
10.27,3,463628879.99999994,4,1854515519.9999998
17.45,3,787762800.0,4,3151051200.0
29.69,3,1340325360.0000002,4,5361301440.000001
38.87,3,1754747280.0,4,7018989120.0
16.64,3,751196160.0,4,3004784640.0
40.72,3,1838263680.0,4,7353054720.0
14.5,3,654588000.0,4,2618352000.0
11.24,3,507418560.0,4,2029674240.0
28.81,3,1300598639.9999998,4,5202394559.999999
12.04,3,543533759.9999999,4,2174135039.9999995
40.54,3,1830137760.0,4,7320551040.0
16.04,3,724109759.9999999,4,2896439039.9999995
29.31,3,1323170639.9999998,4,5292682559.999999
32.29,3,1457699760.0,4,5830799040.0
27.49,3,1241008560.0,4,4964034240.0
38.28,3,1728112320.0,4,6912449280.0
32.09,3,1448670960.0000002,4,5794683840.000001
42.36,3,1912299840.0,4,7649199360.0
34.95,3,1577782800.0000002,4,6311131200.000001
32.8,3,1480723199.9999998,4,5922892799.999999
25.47,3,1149817680.0,4,4599270720.0
15.66,3,706955040.0,4,2827820160.0
29.59,3,1335810960.0,4,5343243840.0
35.93,3,1622023920.0,4,6488095680.0
47.62,3,2149757279.9999995,4,8599029119.999998
22.56,3,1018448639.9999999,4,4073794559.9999995
28.22,3,1273963680.0,4,5095854720.0
15.16,3,684383040.0,4,2737532160.0
36.78,3,1660396320.0,4,6641585280.0
36.45,3,1645498800.0000002,4,6581995200.000001
35.01,3,1580491439.9999998,4,6321965759.999999
44.92,3,2027868480.0000002,4,8111473920.000001
33.24,3,1500586560.0000002,4,6002346240.000001
17.24,3,778282559.9999999,4,3113130239.9999995
30.54,3,1378697760.0,4,5514791040.0
19.88,3,897462719.9999999,4,3589850879.9999995
13.94,3,629307360.0,4,2517229440.0
45.27,3,2043668880.0000002,4,8174675520.000001
42.81,3,1932614640.0,4,7730458560.0
11.81,3,533150640.0,4,2132602560.0
11.06,3,499292640.0,4,1997170560.0
32.2,3,1453636800.0000002,4,5814547200.000001
49.56,3,2237336640.0,4,8949346560.0
46.25,3,2087910000.0,4,8351640000.0
37.52,3,1693802880.0000002,4,6775211520.000001
49.24,3,2222890560.0,4,8891562240.0
12.51,3,564751440.0,4,2259005760.0
47.4,3,2139825600.0,4,8559302400.0
13.88,3,626598720.0,4,2506394880.0
30.54,3,1378697760.0,4,5514791040.0
15.72,3,709663680.0000001,4,2838654720.0000005
47.74,3,2155174560.0,4,8620698240.0
47.11,3,2126733840.0,4,8506935360.0
30.4,3,1372377600.0,4,5489510400.0
27.36,3,1235139839.9999998,4,4940559359.999999
33.05,3,1492009199.9999998,4,5968036799.999999
19.87,3,897011280.0000001,4,3588045120.0000005
46.11,3,2081589840.0,4,8326359360.0
11.18,3,504709919.99999994,4,2018839679.9999998
20.35,3,918680400.0000001,4,3674721600.0000005
14.12,3,637433280.0,4,2549733120.0
25.59,3,1155234960.0,4,4620939840.0
35.67,3,1610286480.0000002,4,6441145920.000001
26.55,3,1198573200.0,4,4794292800.0
46.74,3,2110030560.0,4,8440122240.0
20.93,3,944863920.0,4,3779455680.0
43.58,3,1967375519.9999998,4,7869502079.999999
33.18,3,1497877920.0,4,5991511680.0
14.77,3,666776880.0,4,2667107520.0
42.66,3,1925843039.9999998,4,7703372159.999999
41.97,3,1894693679.9999998,4,7578774719.999999
36.21,3,1634664240.0,4,6538656960.0
43.11,3,1946157840.0,4,7784631360.0
33.24,3,1500586560.0000002,4,6002346240.000001
19.42,3,876696480.0000001,4,3506785920.0000005
21.42,3,966984480.0000001,4,3867937920.0000005
17.4,3,785505599.9999999,4,3142022399.9999995
40.7,3,1837360800.0000002,4,7349443200.000001
33.14,3,1496072160.0000002,4,5984288640.000001
31.97,3,1443253680.0,4,5773014720.0
22.5,3,1015740000.0,4,4062960000.0
19.37,3,874439280.0000001,4,3497757120.0000005
45.32,3,2045926080.0000002,4,8183704320.000001
40.33,3,1820657519.9999998,4,7282630079.999999
10.12,3,456857279.99999994,4,1827429119.9999998
41.75,3,1884762000.0,4,7539048000.0
35.43,3,1599451920.0,4,6397807680.0
27.05,3,1221145200.0,4,4884580800.0
39.64,3,1789508160.0000002,4,7158032640.000001
22.21,3,1002648240.0000001,4,4010592960.0000005
24.01,3,1083907440.0,4,4335629760.0
30.27,3,1366508880.0,4,5466035520.0
49.84,3,2249976960.0000005,4,8999907840.000002
28.92,3,1305564480.0000002,4,5222257920.000001
43.29,3,1954283760.0,4,7817135040.0
22.99,3,1037860559.9999999,4,4151442239.9999995
21.6,3,975110400.0,4,3900441600.0
45.21,3,2040960240.0,4,8163840960.0
18.28,3,825232320.0,4,3300929280.0
33.24,3,1500586560.0000002,4,6002346240.000001
28.9,3,1304661600.0,4,5218646400.0
11.86,3,535407840.0,4,2141631360.0
13.72,3,619375680.0000001,4,2477502720.0000005
33.2,3,1498780800.0000002,4,5995123200.000001
37.2,3,1679356800.0000002,4,6717427200.000001
27.9,3,1259517600.0,4,5038070400.0
26.54,3,1198121760.0,4,4792487040.0
10.44,3,471303359.99999994,4,1885213439.9999998
12.87,3,581003280.0,4,2324013120.0
16.37,3,739007280.0000001,4,2956029120.0000005
31.67,3,1429710480.0000002,4,5718841920.000001
49.53,3,2235982320.0000005,4,8943929280.000002
25.31,3,1142594639.9999998,4,4570378559.999999
29.94,3,1351611360.0000002,4,5406445440.000001
42.63,3,1924488720.0000002,4,7697954880.000001
47.77,3,2156528880.0,4,8626115520.0
29.15,3,1315947600.0,4,5263790400.0
34.47,3,1556113680.0,4,6224454720.0
32.88,3,1484334720.0,4,5937338880.0
25.48,3,1150269120.0,4,4601076480.0
39.92,3,1802148480.0000002,4,7208593920.000001
23.71,3,1070364240.0000001,4,4281456960.0000005
33.79,3,1525415760.0,4,6101663040.0
30.43,3,1373731920.0,4,5494927680.0
45.47,3,2052697679.9999998,4,8210790719.999999
14.43,3,651427919.9999999,4,2605711679.9999995
40.47,3,1826977680.0,4,7307910720.0
15.75,3,711018000.0,4,2844072000.0
24.21,3,1092936240.0,4,4371744960.0
32.87,3,1483883280.0,4,5935533120.0
14.34,3,647364960.0,4,2589459840.0
10.39,3,469046160.0,4,1876184640.0
44.02,3,1987238880.0000002,4,7948955520.000001
14.33,3,646913520.0,4,2587654080.0
38.49,3,1737592560.0000002,4,6950370240.000001
40.57,3,1831492080.0,4,7325968320.0
14.48,3,653685120.0,4,2614740480.0
15.27,3,689348880.0,4,2757395520.0
46.01,3,2077075440.0,4,8308301760.0
12.33,3,556625520.0,4,2226502080.0
38.84,3,1753392960.0000002,4,7013571840.000001
10.45,3,471754799.99999994,4,1887019199.9999998
40.32,3,1820206080.0,4,7280824320.0
32.12,3,1450025280.0,4,5800101120.0
37.94,3,1712763360.0,4,6851053440.0
17.71,3,799500240.0000001,4,3198000960.0000005
41.01,3,1851355439.9999998,4,7405421759.999999
20.24,3,913714559.9999999,4,3654858239.9999995
47.61,3,2149305840.0,4,8597223360.0
48.33,3,2181809520.0,4,8727238080.0
29.0,3,1309176000.0,4,5236704000.0
23.06,3,1041020639.9999999,4,4164082559.9999995
38.27,3,1727660880.0000002,4,6910643520.000001
41.43,3,1870315920.0,4,7481263680.0
25.56,3,1153880639.9999998,4,4615522559.999999
25.7,3,1160200800.0,4,4640803200.0
15.31,3,691154640.0,4,2764618560.0
17.56,3,792728640.0,4,3170914560.0
14.18,3,640141919.9999999,4,2560567679.9999995
26.83,3,1211213519.9999998,4,4844854079.999999
13.62,3,614861280.0,4,2459445120.0
44.88,3,2026062720.0000002,4,8104250880.000001
36.71,3,1657236240.0,4,6628944960.0
45.36,3,2047731840.0,4,8190927360.0
21.15,3,954795600.0,4,3819182400.0
11.43,3,515995919.99999994,4,2063983679.9999998
24.8,3,1119571200.0,4,4478284800.0
17.03,3,768802320.0,4,3075209280.0
20.65,3,932223599.9999999,4,3728894399.9999995
43.98,3,1985433119.9999998,4,7941732479.999999
42.77,3,1930808880.0000002,4,7723235520.000001
46.36,3,2092875840.0,4,8371503360.0
45.54,3,2055857760.0,4,8223431040.0
22.35,3,1008968400.0,4,4035873600.0
19.22,3,867667680.0,4,3470670720.0
19.36,3,873987840.0,4,3495951360.0
24.08,3,1087067519.9999998,4,4348270079.999999
25.31,3,1142594639.9999998,4,4570378559.999999
10.9,3,492069600.0,4,1968278400.0
18.04,3,814397759.9999999,4,3257591039.9999995
27.55,3,1243717200.0,4,4974868800.0
41.07,3,1854064080.0,4,7416256320.0
37.54,3,1694705760.0,4,6778823040.0
32.21,3,1454088240.0,4,5816352960.0
30.14,3,1360640160.0000002,4,5442560640.000001
12.74,3,575134560.0,4,2300538240.0
21.95,3,990910800.0,4,3963643200.0
24.47,3,1104673680.0,4,4418694720.0
11.32,3,511030080.00000006,4,2044120320.0000002
47.81,3,2158334640.0,4,8633338560.0
27.97,3,1262677680.0,4,5050710720.0
17.0,3,767448000.0,4,3069792000.0
33.32,3,1504198080.0,4,6016792320.0
10.58,3,477623520.00000006,4,1910494080.0000002
46.12,3,2082041279.9999998,4,8328165119.999999
15.99,3,721852560.0,4,2887410240.0
49.18,3,2220181920.0,4,8880727680.0
33.26,3,1501489439.9999998,4,6005957759.999999
27.64,3,1247780160.0000002,4,4991120640.000001
28.63,3,1292472720.0,4,5169890880.0
43.07,3,1944352080.0000002,4,7777408320.000001
31.39,3,1417070160.0000002,4,5668280640.000001
12.33,3,556625520.0,4,2226502080.0
49.14,3,2218376160.0,4,8873504640.0
16.68,3,753001919.9999999,4,3012007679.9999995
41.88,3,1890630720.0000002,4,7562522880.000001
47.4,3,2139825600.0,4,8559302400.0
30.31,3,1368314639.9999998,4,5473258559.999999
22.88,3,1032894720.0,4,4131578880.0
18.32,3,827038080.0000001,4,3308152320.0000005
22.87,3,1032443280.0,4,4129773120.0
43.7,3,1972792800.0,4,7891171200.0
33.8,3,1525867199.9999998,4,6103468799.999999
43.79,3,1976855760.0,4,7907423040.0
12.95,3,584614800.0,4,2338459200.0
47.74,3,2155174560.0,4,8620698240.0
27.51,3,1241911440.0,4,4967645760.0
49.65,3,2241399600.0,4,8965598400.0
45.72,3,2063983679.9999998,4,8255934719.999999
26.68,3,1204441920.0,4,4817767680.0
24.21,3,1092936240.0,4,4371744960.0
16.66,3,752099040.0,4,3008396160.0
17.55,3,792277200.0,4,3169108800.0
47.19,3,2130345360.0,4,8521381440.0
35.63,3,1608480720.0,4,6433922880.0
16.25,3,733590000.0,4,2934360000.0
23.66,3,1068107040.0000001,4,4272428160.0000005
28.25,3,1275318000.0,4,5101272000.0
33.63,3,1518192720.0,4,6072770880.0
29.86,3,1347999839.9999998,4,5391999359.999999
14.23,3,642399120.0,4,2569596480.0
29.1,3,1313690400.0,4,5254761600.0
43.59,3,1967826960.0000002,4,7871307840.000001
13.13,3,592740720.0,4,2370962880.0
24.54,3,1107833760.0,4,4431335040.0
32.83,3,1482077519.9999998,4,5928310079.999999
44.73,3,2019291119.9999998,4,8077164479.999999
18.95,3,855478800.0,4,3421915200.0
44.65,3,2015679600.0,4,8062718400.0
28.7,3,1295632800.0,4,5182531200.0
16.55,3,747133200.0,4,2988532800.0
15.65,3,706503600.0,4,2826014400.0
13.18,3,594997919.9999999,4,2379991679.9999995
34.63,3,1563336720.0,4,6253346880.0
46.82,3,2113642080.0000002,4,8454568320.000001
12.87,3,581003280.0,4,2324013120.0
30.73,3,1387275120.0,4,5549100480.0
17.19,3,776025360.0,4,3104101440.0
42.22,3,1905979679.9999998,4,7623918719.999999
29.67,3,1339422480.0000002,4,5357689920.000001
21.34,3,963372959.9999999,4,3853491839.9999995
40.71,3,1837812240.0,4,7351248960.0
36.89,3,1665362160.0000002,4,6661448640.000001
26.01,3,1174195440.0,4,4696781760.0
33.0,3,1489752000.0,4,5959008000.0
21.81,3,984590639.9999999,4,3938362559.9999995
39.44,3,1780479360.0,4,7121917440.0
11.19,3,505161360.0,4,2020645440.0
39.04,3,1762421760.0,4,7049687040.0
19.8,3,893851200.0,4,3575404800.0
32.28,3,1457248320.0,4,5828993280.0
38.47,3,1736689680.0,4,6946758720.0
26.0,3,1173744000.0,4,4694976000.0
41.2,3,1859932800.0000002,4,7439731200.000001
33.36,3,1506003839.9999998,4,6024015359.999999
26.54,3,1198121760.0,4,4792487040.0
12.37,3,558431280.0,4,2233725120.0
49.88,3,2251782720.0000005,4,9007130880.000002
28.31,3,1278026639.9999998,4,5112106559.999999
17.04,3,769253759.9999999,4,3077015039.9999995
10.44,3,471303359.99999994,4,1885213439.9999998
35.41,3,1598549039.9999998,4,6394196159.999999
29.29,3,1322267760.0,4,5289071040.0
30.08,3,1357931519.9999998,4,5431726079.999999
27.12,3,1224305280.0,4,4897221120.0
36.75,3,1659042000.0,4,6636168000.0
47.91,3,2162849039.9999995,4,8651396159.999998
23.8,3,1074427200.0,4,4297708800.0
22.39,3,1010774160.0000001,4,4043096640.0000005
22.32,3,1007614080.0,4,4030456320.0
19.33,3,872633519.9999999,4,3490534079.9999995
48.19,3,2175489360.0,4,8701957440.0
32.62,3,1472597280.0,4,5890389120.0
36.96,3,1668522240.0,4,6674088960.0
20.44,3,922743360.0,4,3690973440.0
19.84,3,895656960.0,4,3582627840.0
21.61,3,975561839.9999999,4,3902247359.9999995
19.0,3,857736000.0,4,3430944000.0
35.02,3,1580942880.0000002,4,6323771520.000001
43.48,3,1962861119.9999998,4,7851444479.999999
25.12,3,1134017280.0,4,4536069120.0
42.53,3,1919974320.0000002,4,7679897280.000001
27.07,3,1222048080.0,4,4888192320.0
35.79,3,1615703760.0,4,6462815040.0
37.17,3,1678002480.0000002,4,6712009920.000001
29.66,3,1338971040.0,4,5355884160.0
33.06,3,1492460640.0,4,5969842560.0
35.37,3,1596743280.0,4,6386973120.0
14.4,3,650073600.0,4,2600294400.0
40.88,3,1845486720.0,4,7381946880.0
28.56,3,1289312639.9999998,4,5157250559.999999
47.83,3,2159237520.0,4,8636950080.0
36.47,3,1646401680.0,4,6585606720.0
49.29,3,2225147760.0,4,8900591040.0
36.03,3,1626538320.0,4,6506153280.0
18.43,3,832003919.9999999,4,3328015679.9999995
27.26,3,1230625440.0,4,4922501760.0
27.51,3,1241911440.0,4,4967645760.0
41.58,3,1877087519.9999998,4,7508350079.999999
25.62,3,1156589280.0,4,4626357120.0
39.93,3,1802599920.0,4,7210399680.0
10.47,3,472657680.00000006,4,1890630720.0000002
22.62,3,1021157280.0,4,4084629120.0
22.53,3,1017094320.0,4,4068377280.0
44.93,3,2028319919.9999998,4,8113279679.999999
26.15,3,1180515600.0,4,4722062400.0
38.65,3,1744815600.0,4,6979262400.0
23.78,3,1073524320.0,4,4294097280.0
33.42,3,1508712480.0000002,4,6034849920.000001
43.91,3,1982273039.9999998,4,7929092159.999999
38.82,3,1752490080.0,4,7009960320.0
12.34,3,557076960.0,4,2228307840.0
11.41,3,515093040.0,4,2060372160.0
38.83,3,1752941519.9999998,4,7011766079.999999
41.14,3,1857224160.0000002,4,7428896640.000001
36.86,3,1664007839.9999998,4,6656031359.999999
27.1,3,1223402400.0,4,4893609600.0
14.45,3,652330800.0,4,2609323200.0
18.08,3,816203519.9999999,4,3264814079.9999995
20.54,3,927257759.9999999,4,3709031039.9999995
16.88,3,762030719.9999999,4,3048122879.9999995
26.97,3,1217533680.0,4,4870134720.0
47.89,3,2161946160.0,4,8647784640.0
12.46,3,562494240.0000001,4,2249976960.0000005
42.88,3,1935774720.0000002,4,7743098880.000001
47.87,3,2161043279.9999995,4,8644173119.999998
37.82,3,1707346080.0,4,6829384320.0
17.59,3,794082960.0,4,3176331840.0
19.54,3,882113759.9999999,4,3528455039.9999995
12.03,3,543082319.9999999,4,2172329279.9999995
40.76,3,1840069439.9999998,4,7360277759.999999
40.89,3,1845938160.0000002,4,7383752640.000001
12.46,3,562494240.0000001,4,2249976960.0000005
15.59,3,703794960.0,4,2815179840.0
24.82,3,1120474080.0,4,4481896320.0
42.65,3,1925391600.0,4,7701566400.0
23.43,3,1057723920.0,4,4230895680.0
25.79,3,1164263760.0,4,4657055040.0
41.76,3,1885213439.9999998,4,7540853759.999999
47.19,3,2130345360.0,4,8521381440.0
44.93,3,2028319919.9999998,4,8113279679.999999
19.32,3,872182080.0000001,4,3488728320.0000005
36.5,3,1647756000.0,4,6591024000.0
47.35,3,2137568400.0,4,8550273600.0
22.93,3,1035151920.0,4,4140607680.0
34.13,3,1540764720.0,4,6163058880.0
34.67,3,1565142480.0000002,4,6260569920.000001
19.68,3,888433919.9999999,4,3553735679.9999995
34.73,3,1567851119.9999998,4,6271404479.999999
15.0,3,677160000.0,4,2708640000.0
21.48,3,969693120.0,4,3878772480.0
34.93,3,1576879920.0,4,6307519680.0
36.15,3,1631955600.0,4,6527822400.0
44.97,3,2030125679.9999998,4,8120502719.999999
40.44,3,1825623360.0,4,7302493440.0
47.98,3,2166009120.0,4,8664036480.0
38.35,3,1731272400.0,4,6925089600.0
31.82,3,1436482080.0,4,5745928320.0
10.82,3,488458080.00000006,4,1953832320.0000002
16.78,3,757516320.0,4,3030065280.0
13.07,3,590032080.0000001,4,2360128320.0000005
20.18,3,911005919.9999999,4,3644023679.9999995
23.94,3,1080747360.0000002,4,4322989440.000001
33.74,3,1523158560.0000002,4,6092634240.000001
36.74,3,1658590560.0000002,4,6634362240.000001
13.2,3,595900800.0,4,2383603200.0
14.48,3,653685120.0,4,2614740480.0
47.66,3,2151563039.9999995,4,8606252159.999998
21.7,3,979624800.0,4,3918499200.0
26.8,3,1209859200.0,4,4839436800.0
35.36,3,1596291839.9999998,4,6385167359.999999
24.68,3,1114153920.0,4,4456615680.0
25.42,3,1147560480.0000002,4,4590241920.000001
13.12,3,592289280.0,4,2369157120.0
24.9,3,1124085600.0,4,4496342400.0
43.8,3,1977307200.0,4,7909228800.0
25.19,3,1137177360.0000002,4,4548709440.000001
26.59,3,1200378960.0,4,4801515840.0
34.5,3,1557468000.0,4,6229872000.0
11.16,3,503807040.0,4,2015228160.0
16.66,3,752099040.0,4,3008396160.0
32.33,3,1459505519.9999998,4,5838022079.999999
46.89,3,2116802160.0,4,8467208640.0
41.24,3,1861738560.0000002,4,7446954240.000001
10.46,3,472206240.00000006,4,1888824960.0000002
27.96,3,1262226240.0,4,5048904960.0
21.16,3,955247040.0000001,4,3820988160.0000005
16.61,3,749841840.0,4,2999367360.0
46.49,3,2098744560.0,4,8394978240.0
48.53,3,2190838320.0000005,4,8763353280.000002
44.97,3,2030125679.9999998,4,8120502719.999999
12.95,3,584614800.0,4,2338459200.0
45.63,3,2059920720.0000002,4,8239682880.000001
15.72,3,709663680.0000001,4,2838654720.0000005
30.21,3,1363800240.0,4,5455200960.0
24.14,3,1089776160.0000002,4,4359104640.000001
38.2,3,1724500800.0000002,4,6898003200.000001
33.74,3,1523158560.0000002,4,6092634240.000001
14.98,3,676257120.0,4,2705028480.0
27.03,3,1220242320.0,4,4880969280.0
42.07,3,1899208080.0000002,4,7596832320.000001
36.87,3,1664459280.0,4,6657837120.0
38.6,3,1742558400.0,4,6970233600.0
49.7,3,2243656800.0,4,8974627200.0
19.73,3,890691120.0,4,3562764480.0
49.61,3,2239593840.0,4,8958375360.0
35.87,3,1619315280.0,4,6477261120.0
16.01,3,722755440.0000001,4,2891021760.0000005
46.05,3,2078881200.0,4,8315524800.0
44.65,3,2015679600.0,4,8062718400.0
25.94,3,1171035360.0000002,4,4684141440.000001
49.75,3,2245914000.0,4,8983656000.0
33.39,3,1507358160.0000002,4,6029432640.000001
49.98,3,2256297120.0,4,9025188480.0
37.8,3,1706443199.9999998,4,6825772799.999999
25.39,3,1146206160.0000002,4,4584824640.000001
42.45,3,1916362800.0,4,7665451200.0
41.39,3,1868510160.0000002,4,7474040640.000001
46.99,3,2121316560.0,4,8485266240.0
10.19,3,460017359.99999994,4,1840069439.9999998
43.7,3,1972792800.0,4,7891171200.0
31.08,3,1403075519.9999998,4,5612302079.999999
47.49,3,2143888560.0,4,8575554240.0
47.85,3,2160140400.0,4,8640561600.0
30.83,3,1391789519.9999998,4,5567158079.999999
23.28,3,1050952320.0,4,4203809280.0
22.18,3,1001293920.0,4,4005175680.0
15.45,3,697474800.0,4,2789899200.0
16.25,3,733590000.0,4,2934360000.0
28.5,3,1286604000.0,4,5146416000.0
35.34,3,1595388960.0000002,4,6381555840.000001
17.77,3,802208880.0,4,3208835520.0
19.11,3,862701840.0,4,3450807360.0
44.11,3,1991301840.0,4,7965207360.0
49.41,3,2230565039.9999995,4,8922260159.999998
13.98,3,631113120.0,4,2524452480.0
26.19,3,1182321360.0000002,4,4729285440.000001
30.49,3,1376440560.0,4,5505762240.0
26.25,3,1185030000.0,4,4740120000.0
37.42,3,1689288480.0000002,4,6757153920.000001
15.98,3,721401120.0,4,2885604480.0
10.18,3,459565920.0,4,1838263680.0
19.43,3,877147919.9999999,4,3508591679.9999995
46.22,3,2086555679.9999998,4,8346222719.999999
39.82,3,1797634080.0,4,7190536320.0
41.06,3,1853612640.0,4,7414450560.0
29.62,3,1337165280.0,4,5348661120.0
33.02,3,1490654880.0000002,4,5962619520.000001
31.87,3,1438739280.0,4,5754957120.0
24.64,3,1112348160.0000002,4,4449392640.000001
19.6,3,884822400.0000001,4,3539289600.0000005
27.13,3,1224756720.0,4,4899026880.0
45.93,3,2073463919.9999998,4,8293855679.999999
28.43,3,1283443920.0,4,5133775680.0
12.97,3,585517680.0000001,4,2342070720.0000005
48.66,3,2196707039.9999995,4,8786828159.999998
19.03,3,859090320.0,4,3436361280.0
10.88,3,491166720.00000006,4,1964666880.0000002
22.43,3,1012579920.0,4,4050319680.0
46.2,3,2085652800.0,4,8342611200.0
21.14,3,954344160.0000001,4,3817376640.0000005
19.52,3,881210880.0,4,3524843520.0
17.27,3,779636880.0,4,3118547520.0
35.52,3,1603514880.0000002,4,6414059520.000001
20.89,3,943058160.0,4,3772232640.0
46.85,3,2114996400.0,4,8459985600.0
27.11,3,1223853839.9999998,4,4895415359.999999
40.31,3,1819754640.0,4,7279018560.0
